venue_id,SeatMap
KovZpZAEA67A,https://maps.ticketmaster.com/maps/geometry/3/event/09005E39E4E17BE6/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005E93C6633176/staticImage?type=png&systemId=HOST
KovZpa6OCe,https://maps.ticketmaster.com/maps/geometry/3/event/09005E99859A131E/staticImage?type=png&systemId=HOST
KovZ917AJue,https://maps.ticketmaster.com/maps/geometry/3/event/0A005E51E1453F45/staticImage?type=png&systemId=HOST
KovZpZA77elA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E8EA2681A01/staticImage?type=png&systemId=HOST
Z6r9jZkv7e,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/503-0-0-1-GAStage71229.png
Z7r9jZadbo,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/13841-0-0-1-GAStage.png
ZFr9jZFAaF,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/7487-0-2-1-GAStage.png
KovZpZAEAl6A,https://maps.ticketmaster.com/maps/geometry/3/event/09005E5212D787D9/staticImage?type=png&systemId=HOST
ZFr9jZeFAd,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/1742-0-0-1-GAStage71229.png
KovZpZAJvttA,https://maps.ticketmaster.com/maps/geometry/3/event/09005E3ADF0F7EE5/staticImage?type=png&systemId=HOST
KovZ917AJ5H,https://maps.ticketmaster.com/maps/geometry/3/event/09005EC5D8C634CD/staticImage?type=png&systemId=HOST
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005EAFC0693399/staticImage?type=png&systemId=HOST
KovZ917A967,https://maps.ticketmaster.com/maps/geometry/3/event/09005EB30C4798AB/staticImage?type=png&systemId=HOST
KovZ917AJ5H,https://maps.ticketmaster.com/maps/geometry/3/event/09005E6E8AEC140D/staticImage?type=png&systemId=HOST
ZFr9jZeFAd,https://content.resale.ticketmaster.com/graphics/TMResale/2/VenueMaps/1742-0-0-1-GAStage71229.png
KovZ917AGff,https://maps.ticketmaster.com/maps/geometry/3/event/09005E85DBFF325C/staticImage?type=png&systemId=HOST
