Event ID,event_name,venue_id,event_url,image_url,startDate,startTime,genre_id,subgenre_id,min_price,max_price
vvG10Z9cKf8wsS,Breaking Sound 07/08/2023 At The Peppermint Club,KovZ917A2k0,https://www.ticketmaster.com/breaking-sound-07082023-at-the-peppermint-los-angeles-california-07-08-2023/event/09005ED4D4432C73,https://s1.ticketm.net/dam/a/937/e2defe43-ee1c-4520-8f96-015b51e74937_1623471_TABLET_LANDSCAPE_3_2.jpg,2023-07-08,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,20.0,20.0
vvG10Z9tSTApC_,Cosmic Bloom & Altangeles Presents: The Gromble,KovZ917AGff,https://concerts.livenation.com/cosmic-bloom-altangeles-presents-the-gromble-santa-ana-california-07-08-2023/event/09005E9CFF156399,https://s1.ticketm.net/dam/a/302/21bf9425-35ab-428e-a626-7cc818439302_RECOMENDATION_16_9.jpg,2023-07-08,19:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,12.0,12.0
vvG1IZ9JCj5st5,30th Year Anniversary Of Saigon Entertainment,KovZpZA1vvlA,https://www.ticketmaster.com/30th-year-anniversary-of-saigon-entertainment-temecula-california-07-08-2023/event/0A005E639C2F1A4B,https://s1.ticketm.net/dam/c/548/5fefbd1c-973b-4b0e-9b2e-d78e4ce37548_106111_EVENT_DETAIL_PAGE_16_9.jpg,2023-07-08,19:00:00,KnvZfZ7vAeF,KZazBEonSMnZfZ7v6Jt,60.0,250.0
vvG10Z9lnWNdtF,"The Vixens & Foxes Present: ""DRIP""",KovZ917AGEf,https://concerts.livenation.com/the-vixens-foxes-present-drip-anaheim-california-07-08-2023/event/09005EBABD8C3A48,https://s1.ticketm.net/dam/c/4f2/0109888a-61b5-4525-8432-b026ef04f4f2_105631_TABLET_LANDSCAPE_LARGE_16_9.jpg,2023-07-08,19:30:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vk1t,35.0,65.0
Z7r9jZ1Ad0paO,Jake Shimabukuro,ZFr9jZea1v,https://www.ticketmaster.com/event/Z7r9jZ1Ad0paO,https://s1.ticketm.net/dam/a/796/66db7215-d93a-445f-a780-c3ec70626796_1546151_RETINA_PORTRAIT_3_2.jpg,2023-07-08,20:00:00,KnvZfZ7vAev,KZazBEonSMnZfZ7vkEl,,
Z7r9jZ1AdO6Z7,Danny Seraphine,Z7r9jZadwd,https://www.ticketmaster.com/event/Z7r9jZ1AdO6Z7,https://s1.ticketm.net/dam/a/d77/a6455606-c342-43f3-9e02-76e18febed77_ARTIST_PAGE_3_2.jpg,2023-07-08,20:00:00,KnvZfZ7vAvl,KZazBEonSMnZfZ7vk1I,,
vvG10Z9ImO5srP,Happy Together Tour,KovZpZAallJA,https://www.ticketmaster.com/happy-together-tour-coachella-california-07-08-2023/event/09005E8BA02F17A5,https://s1.ticketm.net/dam/a/94b/b9952f5d-cf31-41d0-bd1f-7ed01bee094b_589291_TABLET_LANDSCAPE_3_2.jpg,2023-07-08,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,35.0,75.0
vvG10Z9ipSCvb9,Neil Young,KovZpZA77elA,https://www.ticketmaster.com/neil-young-paso-robles-california-07-08-2023/event/09005EC5B3381617,https://s1.ticketm.net/dam/a/87c/54757ba1-b60a-40d6-aefb-c889f719a87c_SOURCE,2023-07-08,20:00:00,KnvZfZ7vAeA,KZazBEonSMnZfZ7v6F1,89.5,299.0
vvG10Z9lN0jfC9,Gimme Gimme Disco (18+),KovZpZAEA67A,https://concerts.livenation.com/gimme-gimme-disco-18-anaheim-california-07-08-2023/event/09005EB8E4714397,https://s1.ticketm.net/dam/a/368/a30e6121-872f-4512-aa66-ebd4686b8368_1849781_ARTIST_PAGE_3_2.jpg,2023-07-08,20:00:00,KnvZfZ7vAvF,KZazBEonSMnZfZ7va1k,15.0,15.0
vvG1IZ9EXKzK3S,PESO PLUMA Con Invitado Especial ALEMAN,KovZ917A-Tn,https://www.ticketmaster.com/peso-pluma-con-invitado-especial-aleman-palm-desert-california-07-08-2023/event/0A005E7F93E134B3,https://s1.ticketm.net/dam/a/2b1/2f822828-b13a-4523-9af0-604b4f6fb2b1_CUSTOM.jpg,2023-07-08,20:00:00,KnvZfZ7vAJ6,KZazBEonSMnZfZ7va1a,65.0,355.0
